LOR-Schlüssel (Bezirksregion);Bezeichnung (Bezirksregion);"Straftaten -insgesamt-";Raub;"Straßenraub,Handtaschenraub";"Körperverletzungen -insgesamt-";Gefährl. und schwere Körperverletzung;"Freiheitsberaubung, Nötigung, Bedrohung, Nachstellung";"Diebstahl -insgesamt-";Diebstahl von Kraftwagen;"Diebstahl an/aus Kfz";"Fahrraddiebstahl";"Wohnraumeinbruch";"Branddelikte -insgesamt-";"Brandstiftung";Sachbeschädigung -insgesamt-;Sachbeschädigung durch Graffiti;Rauschgiftdelikte;Kieztaten
010000;Mitte;20.718;210;128;1.969;599;790;8.932;105;1.042;1.180;148;100;29;1.574;305;847;4.556
011001;Tiergarten Süd;25.891;233;170;2.612;881;957;9.908;107;1.227;1.926;176;170;44;2.109;302;1.429;5.628
011002;Regierungsviertel;45.668;300;153;3.609;1.081;1.198;20.522;80;1.257;1.965;234;117;29;3.178;884;1.293;8.233
011003;Alexanderplatz;31.272;268;163;3.007;843;933;14.881;82;1.017;1.402;178;114;21;2.209;528;1.139;6.260
011004;Brunnenstraße Süd;11.763;200;147;979;335;388;5.445;103;660;1.321;131;44;9;1.408;313;304;2.985
012005;Moabit West;13.382;93;50;1.208;313;551;4.549;117;813;765;104;95;30;1.074;156;627;2.764
012006;Moabit Ost;23.149;206;141;1.925;518;842;8.672;59;521;1.041;164;110;30;1.276;242;1.304;4.041
013007;Osloer Straße;16.230;199;92;1.750;583;769;7.577;107;958;738;141;63;31;1.154;175;395;3.854
013008;Brunnenstraße Nord;18.810;227;132;1.758;611;678;7.888;117;1.042;955;125;115;40;1.688;461;796;4.122
014009;Parkviertel;14.385;141;76;1.576;451;742;6.759;168;1.535;890;161;91;33;1.047;100;374;4.506
014010;Wedding Zentrum;15.171;184;112;1.770;582;827;5.722;50;890;1.378;124;99;23;1.371;197;917;4.026
019900;Bezirk (Mi), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
020000;Friedrichshain-Kreuzberg;18.841;320;229;1.690;596;534;8.381;102;1.009;1.407;112;111;32;1.728;362;1.576;4.395
021001;Südliche  Friedrichstadt;19.613;298;187;1.663;578;664;8.462;96;1.508;1.132;96;123;27;1.658;244;1.530;4.648
022002;Tempelhofer Vorstadt;15.315;250;193;1.320;464;396;7.385;85;918;1.529;111;149;40;1.540;328;752;3.287
023003;Nördliche Luisenstadt;26.968;539;381;2.556;1.038;638;12.752;163;1.671;1.567;129;188;74;1.943;237;3.036;6.344
023004;Südliche Luisenstadt;31.078;774;613;2.207;1.045;586;10.124;98;1.966;1.959;154;105;23;1.936;304;5.973;6.165
024005;Karl-Marx-Allee Nord;10.725;210;147;1.038;277;432;5.301;119;586;943;127;40;20;1.181;155;246;3.403
024006;Karl-Marx-Allee Süd;26.079;411;264;2.772;868;592;12.930;91;656;1.577;113;94;38;1.871;460;1.528;5.907
025007;Frankfurter Allee Nord;11.844;89;44;1.025;276;476;5.324;114;355;974;105;95;35;1.726;301;320;2.700
025008;Frankfurter Allee Süd FK;14.531;178;117;1.518;507;522;6.062;80;522;1.322;96;78;18;1.844;628;1.132;3.594
029900;Bezirk (Fh-Kb), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
030000;Pankow;9.592;110;84;828;239;355;4.864;134;613;986;150;66;21;1.040;247;179;2.211
031001;Buch;14.487;179;104;1.812;463;648;6.795;93;1.146;874;133;168;87;1.655;336;179;3.322
032002;Blankenfelde/Niederschönhausen;5.471;31;21;411;86;228;2.573;111;387;587;183;62;17;484;69;52;939
032003;Buchholz;5.025;27;16;364;48;214;2.416;171;444;396;144;64;27;513;75;59;919
033004;Karow;5.061;30;25;390;95;290;2.605;45;280;430;350;30;5;465;65;110;940
033005;Blankenburg/Heinersdorf/Märchenland;11.385;61;37;872;232;414;4.693;134;823;737;317;85;18;1.067;232;104;1.707
034006;Schönholz/Wilhelmsruh/Rosenthal;5.827;53;37;477;111;207;2.805;170;610;398;323;69;32;647;90;74;1.124
034007;Pankow Zentrum;8.697;128;101;664;187;285;4.438;67;440;1.003;96;45;13;880;184;117;1.843
034008;Pankow Süd;7.171;85;60;605;175;345;3.499;170;501;834;129;44;14;774;186;93;1.822
035009;Weißensee;8.480;84;62;758;212;372;4.190;126;453;898;126;59;17;1.122;256;160;2.043
035010;Weißensee Ost;7.768;31;12;906;225;500;3.131;287;694;394;125;100;56;844;156;181;2.187
036011;Prenzlauer Berg Nordwest;12.716;267;241;1.246;457;373;6.994;102;581;1.564;55;33;4;1.308;362;391;4.078
036012;Prenzlauer Berg Nord;11.219;131;65;722;167;232;6.940;142;624;1.586;152;58;11;998;265;218;2.552
036013;Helmholtzplatz;10.426;70;52;872;266;327;5.337;74;371;1.374;100;48;13;1.413;462;331;2.237
036014;Prenzlauer Berg Ost;15.844;199;160;1.370;452;534;8.144;157;1.035;1.035;199;121;32;1.622;445;395;3.252
037015;Prenzlauer Berg Südwest;11.891;149;131;1.288;457;345;6.134;131;667;1.469;131;47;18;1.498;366;239;3.279
037016;Prenzlauer Berg Süd;7.835;80;65;544;136;275;3.894;139;570;1.040;47;50;9;951;248;112;1.906
039900;Bezirk (Pk), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
040000;Charlottenburg-Wilmersdorf;14.395;123;74;1.088;266;606;6.232;185;1.180;841;217;73;23;1.168;242;393;3.031
041001;Charlottenburg Nord;14.110;125;62;1.421;312;1.333;3.718;375;1.125;213;182;104;26;1.099;73;1.760;3.848
042002;Heerstraße;11.325;116;77;1.571;472;364;4.289;201;952;441;434;101;39;1.479;480;310;2.973
042003;Westend;12.875;50;32;918;165;954;5.532;222;1.220;556;237;93;18;1.134;136;187;3.085
043004;Schloss Charlottenburg;10.345;91;61;812;200;421;4.633;137;719;999;151;79;37;1.341;414;261;2.298
043005;Mierendorffplatz;12.388;163;111;1.183;275;634;4.968;248;1.216;771;157;92;20;1.288;209;203;2.876
043006;Otto-Suhr-Allee/Kantstraße;14.720;147;85;1.220;290;490;7.346;121;815;1.129;173;81;26;1.030;198;371;2.821
044007;Grunewald;10.849;120;75;672;140;577;5.011;316;2.242;582;436;65;15;1.254;281;120;2.448
044008;Schmargendorf;6.454;53;30;458;106;239;3.392;159;729;623;180;35;27;715;121;86;1.925
045009;Halensee;12.472;96;64;906;217;512;5.875;206;1.155;782;270;53;14;1.102;146;203;2.755
045010;Lietzenburger Straße;31.383;239;128;2.049;565;745;11.253;121;1.719;1.021;251;59;15;1.630;434;779;4.724
045011;Volkspark Wilmersdorf;10.511;77;41;738;171;459;5.183;139;1.021;956;157;59;10;856;155;198;2.635
049900;Bezirk (Ch-Wi), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
050000;Spandau;10.470;108;68;1.146;269;562;4.193;142;943;345;188;106;48;972;112;222;2.811
051001;Hakenfelde;6.984;43;29;742;162;385;3.319;115;659;227;112;58;18;626;25;108;1.969
051002;Falkenhagener Feld;7.349;80;40;1.044;266;577;2.660;153;754;200;233;54;24;829;33;139;2.349
051003;Spandau Mitte;16.389;223;163;1.791;443;803;6.911;145;1.257;492;218;104;44;1.306;143;588;5.183
052004;Brunsbütteler Damm;6.692;68;38;750;157;322;2.876;102;809;212;208;119;47;699;76;131;1.660
052005;Heerstraße;8.428;72;46;1.072;253;632;2.737;92;625;174;253;270;148;1.036;92;151;2.504
052006;Wilhelmstadt;15.349;135;81;1.504;333;539;5.989;141;967;520;176;84;35;1.149;263;222;3.160
053007;Haselhorst;9.980;96;37;1.150;256;644;4.095;250;1.310;405;176;37;21;1.012;128;213;2.647
053008;Siemensstadt;12.417;101;39;1.106;195;608;4.791;218;1.410;615;62;140;31;1.355;234;187;2.563
054009;Gatow/Kladow;4.102;35;25;336;79;262;1.496;49;262;262;138;59;35;370;20;35;810
059900;Bezirk (Sp), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
060000;Steglitz-Zehlendorf;7.652;54;34;623;112;332;3.497;161;506;548;213;51;19;861;189;148;1.762
061001;Schloßstraße;14.652;140;108;941;216;666;7.684;158;446;1.058;113;59;18;864;171;239;2.372
061002;Albrechtstraße;5.263;52;32;432;69;231;2.472;162;417;428;123;30;9;544;75;97;1.524
062003;Lankwitz;6.810;43;21;795;130;415;2.728;125;570;258;164;55;11;711;32;210;2.049
062004;Ostpreußendamm;6.723;25;14;726;108;278;2.990;131;414;453;206;72;19;804;164;72;1.780
063005;Teltower Damm;7.512;50;29;534;117;292;3.677;184;411;657;306;41;12;686;134;120;1.596
063006;Drakestraße;6.199;30;16;589;88;301;2.663;179;354;388;151;40;16;629;58;86;1.497
064007;Zehlendorf Südwest;9.381;63;48;618;123;316;3.470;108;681;551;302;101;71;1.724;692;130;1.634
064008;Zehlendorf Nord;7.859;58;32;505;106;265;3.779;175;600;689;376;35;14;1.139;387;208;1.589
069900;Bezirk (St-Zd), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
070000;Tempelhof-Schöneberg;11.176;94;65;1.015;214;498;5.185;147;787;713;130;55;15;1.052;211;307;2.843
071001;Schöneberg Nordwest;22.763;263;187;2.188;611;760;11.969;57;1.283;1.569;183;115;15;1.558;233;977;5.956
071002;Schöneberg Nordost;12.982;129;79;921;221;454;7.008;75;800;1.404;183;29;0;1.092;200;417;3.412
072003;Schöneberg Südwest;9.935;52;43;916;185;327;5.105;166;721;992;109;38;28;920;138;266;2.771
072004;Schöneberg Südost;17.512;112;80;1.448;324;490;7.159;70;574;1.311;125;61;13;1.663;634;481;3.621
073005;Friedenau West;7.537;64;44;484;56;321;3.731;75;445;754;175;75;8;889;238;79;1.786
073006;Friedenau Ost;8.866;83;51;708;120;555;4.352;324;948;722;79;56;23;990;199;194;2.599
074007;Tempelhof Nord;12.814;86;52;1.150;224;552;4.613;150;914;932;69;52;0;1.547;650;621;3.330
074008;Tempelhof Südwest;11.552;102;46;990;179;603;5.428;173;870;477;111;59;22;1.015;207;282;3.228
074009;Tempelhof Südost;14.059;99;72;1.235;296;677;7.134;302;1.669;723;92;46;7;1.137;138;361;3.127
075010;Mariendorf Nord;8.252;75;50;826;148;449;3.706;148;594;317;82;35;19;635;50;141;2.139
075011;Mariendorf Süd;8.899;48;34;826;154;475;3.856;178;807;312;264;38;10;740;77;134;2.104
076012;Marienfelde Nord;7.353;56;39;789;229;347;3.330;185;778;185;123;56;22;767;162;229;1.841
076013;Marienfelde Süd;8.627;63;56;1.136;237;634;3.275;167;592;91;70;56;14;1.136;21;188;2.752
076014;Lichtenrade Nord;4.311;14;9;510;56;290;1.662;112;482;89;150;61;19;496;19;66;1.147
076015;Lichtenrade Süd;5.986;48;32;682;109;373;2.273;90;344;235;113;35;16;890;96;100;1.517
079900;Bezirk (Th-Sb), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
080000;Neukölln;13.005;150;85;1.286;368;532;5.836;153;1.350;655;157;102;39;1.136;122;604;3.003
081001;Schillerpromenade;14.100;173;113;1.481;480;441;6.760;79;1.533;1.195;128;79;33;1.152;161;1.037;3.263
081002;Neuköllner Mitte/Zentrum;22.730;273;158;1.831;609;696;11.251;55;2.175;1.205;137;110;42;1.539;207;1.413;4.086
081003;Reuterstraße;16.274;151;92;1.513;504;479;7.757;56;1.713;1.168;131;77;36;1.250;172;927;3.424
081004;Rixdorf;12.892;157;63;1.345;426;509;5.529;99;1.168;1.066;142;129;63;1.157;134;816;3.131
081005;Köllnische Heide;18.581;97;39;1.280;286;760;6.913;273;2.144;279;182;201;52;2.410;71;1.156;3.658
082006;Britz Nord;10.662;93;39;1.271;287;618;3.822;166;1.261;321;117;97;54;901;93;229;2.658
082007;Britz;11.308;143;91;1.297;307;575;4.748;264;1.470;342;173;151;74;1.228;169;199;2.672
082008;Buckow;5.794;80;45;827;202;415;2.112;143;642;105;178;38;24;572;17;70;1.955
083009;Gropiusstadt West;11.555;131;75;1.126;266;508;5.727;181;890;156;111;91;20;1.177;166;151;3.092
083010;Gropiusstadt Ost;8.260;182;121;1.476;341;529;2.919;187;749;220;88;198;44;1.173;99;99;2.963
084011;Buckow Nord;9.368;83;10;1.083;248;598;3.941;206;1.207;299;175;72;21;640;31;217;2.290
084012;Rudow;6.436;75;43;642;141;365;2.551;252;581;138;261;54;9;596;48;77;1.649
089900;Bezirk (Nk), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
090000;Treptow-Köpenick;9.437;86;55;905;224;441;4.254;161;671;674;151;73;29;1.123;237;221;2.279
091001;Alt-Treptow;18.419;535;437;1.711;603;648;9.172;166;1.032;2.080;181;143;68;1.635;234;1.153;4.522
091002;Plänterwald;10.197;79;62;731;150;414;5.200;370;1.216;652;256;62;44;1.401;176;123;2.485
