address;name;type;postcode;phone;email;educational;topics;languages;lat;lon
Wartenburgstr. 7;Ev. Kirchengemeinde Jesus-Christus;Kindertagesstätte;10963;030216 30 87;Kita@jckg.berlin;;;;52.49654;13.38089
Wilhelmstr. 15;Trauminsel e.V.;Eltern-Initiativ-Kindertagesstätte;10963;030-25923697;trauminsel.ev@hotmail.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung;deutsch - arabisch;52.50275;13.38865
Wilhelmstr. 54;Kinder im Kiez gGmbH;Kindertagesstätte;10963;030208 92 14;franzoesischestrasse@kinder-im-kiez.de;;;;52.4985969;13.3783562
Dessauer Str. 27;Orte für Kinder GmbH;Kindertagesstätte;10963;0302639 7930;traumbaum@ortefuerkinder.de;;;;52.50369999999999;13.3791
Hornstr. 13;EMMA gemeinnützige GmbH;Kindertagesstätte;10963;03054849986;post@EMMAAPFEL.de;Montessori-Pädagogik;;;52.49478;13.38017
Wilhelmstr. 3;Trauminsel e.V.;Eltern-Initiativ-Kindertagesstätte;10963;030-25938954;trauminsel.ev@hotmail.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung;deutsch - arabisch, deutsch - russisch, deutsch - türkisch;52.50037;13.38989
Wilhelmstr. 14A;Kindergärten City;Kindertagesstätte;10963;03050586581;Kita.Wilhelmstr14@ba-fk.berlin.de;Situationsansatz;Körper und Bewegung;;52.50239;13.38987
Wilhelmstr. 116 /117;Diakonisches Werk Berlin Stadtmitte e.V.;Kindertagesstätte;10963;03023005540;a.neumann@diakonie-stadtmitte.de;Montessori-Pädagogik, Reggio-Pädagogik;;;52.50422;13.38593
Obentrautstr. 52;Verein zur Förderung eines freien Erziehungs- und Bildungswesens e.V.;Kindertagesstätte;10963;030216 50 16;;;;;52.49708219999999;13.3829672
Stresemannstr. 35;Nasreddin e.V.;Eltern-Initiativ-Kindertagesstätte;10963;0302510107;m-albayrak@web.de;Montessori-Pädagogik;Integration von Kindern mit Behinderung, Interkulturelle Pädagogik;;52.50058;13.38683
Wilhelmstr. 49;Kinder im Kiez gGmbH;Kindertagesstätte;10963;030208 92 14;franzoesischestrasse@kinder-im-kiez.de;;;;52.4985969;13.3783562
Wartenburgstr. 6;Arbeiterwohlfahrt Berlin Spree-Wuhle e.V.;Kindertagesstätte;10963;03050587801;sonnenschein@awo-spree-wuhle.de;Situationsansatz;Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung;deutsch - spanisch;52.4955568;13.3811432
Wilhelmstr. 88;Jump Bilingual Kindergarten gUG;Kindertagesstätte;10963;030;jump.kita.berlin@gmail.com;;;;52.4985969;13.3783562
Großbeerenstr. 94;Nasreddin e.V.;Eltern-Initiativ-Kindertagesstätte;10965;030251 01 07;m-albayrak@web.de;Montessori-Pädagogik;Integration von Kindern mit Behinderung;;52.4853765;13.3989037
Baerwaldstr. 56;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Kindertagesstätte;10961;0302512026;loewenzahn@awo-mitte.de;bilingual (deutsch-türkisch), Gesundheit, Natur-und Umweltpädagogik, Situationsansatz;;;52.4927395;13.4026517
